number,code,title,doi,zenodo_id,slug,portfolios,tags,explainer,status,notes,hotlogiq_community
323,FanoChoreo,Fano-Guided Search for High-Winding Equal-Mass Three-Body Choreographies,10.5281/zenodo.20369300,20369300,10.5281-zenodo.20369300,B|E,fano|three-body|choreography|ai-for-science,True,published,,
406,OrigamiMbqc,Origami MBQC: The Origami ISA as a Measurement-Based Instruction Set,10.5281/zenodo.20667729,20667729,10.5281-zenodo.20667729,F|C,origami-isa|mbqc|fano-cluster-state|photonics|731-isa|spin-opcode|measurement-based|cluster-state,True,published,,
457,ThermalAz,The Thermal AZ Table: Origami ISA Classification of the Tenfold Way and its Forge ISA Thermalisation,10.5281/zenodo.20955478,20955478,10.5281-zenodo.20955478,A|B,tenfold-way|az-table|origami-isa|forge-isa|symmetry-class|topological-insulator|kitaev|bott-periodicity|thermal-classification|superconductor,True,published,,
468,IsaProp,Resource Theory as Circuit Syntax: The Origami ISA as a Coloured PROP,10.5281/zenodo.20955514,20955514,10.5281-zenodo.20955514,A,resource-theory|prop|coloured-prop|circuit-syntax|monoidal-category|frobenius|zx-calculus|origami-isa|dark-magic|stabiliser,True,published,,
